Symbol	Description
ALPSINDUS	Alps Industries Limited
AMAGI	Amagi Media Labs Ltd
AMBANIORGO-SM	AMBANIORGO-SM
AMBER	Amber Enterprises India Limited
AMBER.BL	AMBER ENTERPRISES
AMBEY-SM	AMBEY-SM
AMBICAAGAR	Ambica Agarbathies & Aroma industries Limited
AMBIKCO	Ambika Cotton Mills Limited
AMBUJACEM	Ambuja Cements Limited
AMCL.ST	ANB Metal Cast Limited
AMDIND	AMD Industries Limited
AMEYA-SM	AMEYA-SM
AMIORG.BL	AMI ORGANICS LIMITED
AMJLAND	Amj Land Holdings Limited
AMNPLST	Amines & Plasticizers Limited
AMRUTANJAN	Amrutanjan Health Care Limited
ANANDRATHI	Anand Rathi Wealth Limited
ANANTAM-IV	ANANTAM-IV
ANANTRAJ	Anant Raj Limited
ANANTRAJ.BL	ANANTRAJ.BL
ANDHRAPAP	ANDHRA PAPER LIMITED
ANDHRSUGAR	The Andhra Sugars Limited
ANGELONE	Angel One Limited
ANIKINDS	Anik Industries Limited
ANKITMETAL	Ankit Metal & Power Limited
ANMOL	Anmol India Limited
ANNAPURNA-SM	ANNAPURNA-SM
ANONDITA.ST	Anondita Medicare Limited
ANSALAPI	Ansal Properties & Infrastructure Limited
ANTELOPUS	ANTELOPUS SELAN ENRGY LTD
ANTGRAPHIC	Antarctica Limited
ANTHEM	Anthem Biosciences Ltd
ANUHPHR	Anuh Pharma Limited
ANUHPHR.BL	ANUHPHR.BL
ANUP	The Anup Engineering Limited
ANURAS	Anupam Rasayan India Limited
ANYA-SM	ANYA-SM
AONELIQUID	Angel One Mutual Fund - Nifty 1D Rate Liquid Etf Growth
AONENIFTY	Angel One Asset Management Co. Ltd. - Angel One Nifty 50 ETF
AONETOTAL	Angel One Mutual Fund - Angel One Nifty Total Market Etf
APARINDS	Apar Industries Limited
APCL	Anjani Portland Cement Limited
APCOTEXIND	Apcotex Industries Limited
APEX	Apex Frozen Foods Limited
APLAPOLLO	APL Apollo Tubes Limited
APLLTD	Alembic Pharmaceuticals Limited
APOLLO	Apollo Micro Systems Limited
APOLLO.BL	APOLLO.BL
APOLLOHOSP	Apollo Hospitals Enterprise Limited
APOLLOPIPE	Apollo Pipes Limited
APOLLOTYRE	Apollo Tyres Limited
APOLSINHOT	Apollo Sindoori Hotels Limited
APTECHT	Aptech Limited
APTUS	Aptus Value Housing Finance India Limited
APTUS.BL	Aptus Value Hsg Fin I Ltd
AQYLON	Aqylon Nexus Limited
ARABIAN-SM	ARABIAN-SM
ARCHIDPLY	Archidply Industries Limited
ARCHIES	Archies Limited
ARE&M	Amara Raja Batteries Limited
ARENTERP	Rajdarshan Industries Limited
ARFIN	Arfin India Limited
ARHAM-SM	ARHAM-SM
ARIES	Aries Agro Limited
ARIHANTACA-SM	ARIHANTACA-SM
ARIHANTACA.ST	ARIHANT ACADEMY LIMITED
ARIHANTCAP	Arihant Capital Markets Limited
ARIHANTSUP	Arihant Superstructures Limited
ARKADE	Arkade Developers Ltd
ARMANFIN	Arman Financial Services Limited
AROGRANITE	Aro Granite Industries Limited
ARROWGREEN	Arrow Greentech Limited
ARSHIYA	Arshiya Limited
ARSSBL	ANAND RATHI SH N STK BR L
ARSSINFRA	ARSS Infrastructure Projects Limited
ARTEMISMED	Artemis Medicare Services Limited
ARTNIRMAN	Art Nirman Limited
ARUNAYA.ST	ARUNAYA ORGANICS LIMITED
ARVEE	Arvee Laboratories (India) Limited
ARVIND	Arvind Limited
ARVINDFASN	Arvind Fashions Limited
ARVSMART	Arvind SmartSpaces Limited
ASAHIINDIA	Asahi India Glass Limited
ASAHISONG	Asahi Songwon Colors Limited
ASAL	Automotive Stampings and Assemblies Limited
ASALCBR	Associated Alcohols & Breweries Ltd.
ASCOM.ST	Ascom Leasing & Investments Ltd.
ASHALOG-SM	ASHALOG-SM
ASHAPURMIN	Ashapura Minechem Limited
ASHIANA	Ashiana Housing Limited
ASHIMASYN	Ashima Limited
ASHOKA	Ashoka Buildcon Limited
ASHOKAMET	Ashoka Metcast Limited
ASHOKLEY	Ashok Leyland Limited
ASHOKLEY.T0	ASHOK LEYLAND
ASHOKLEY.TL	ASHOKLEY.TL
ASHWINI.SM	Ashwini Container Movers Limited
ASIANENE	Asian Energy Services Limited
ASIANHOTNR	Asian Hotels (North) Limited
ASIANPAINT	Asian Paints Limited
ASIANPAINT.BL	ASIAN PAINTS LTD
ASIANTILES	Asian Granito India Limited
ASKAUTOLTD	ASK AUTOMOTIVE LIMITED
ASLIND.ST	ASL INDUSTRIES LTD
ASMS	Bartronics India Limited
ASPINWALL	Aspinwall and Company Limited
ASTEC	Astec LifeSciences Limited
ASTEC.BL	ASTEC.BL
ASTERDM	Aster DM Healthcare Limited
ASTERDM.BL	ASTERDM.BL
ASTRAL	Astral Limited
ASTRAMICRO	Astra Microwave Products Limited
ASTRAZEN	AstraZeneca Pharma India Limited
ASTRON	Astron Paper & Board Mill Limited
ATALREAL	Atal Realtech Limited
ATAM	ATAM VALVES ORD (BSE)
ATCENERGY-SM	ATCENERGY-SM
ATGL	Adani Total Gas Limited
ATHERENERG	Ather Energy Limited
ATHERENERG.BL	ATHERENERG.BL
ATL	Allcargo Terminals Ltd
ATL.RE	ATL.RE
ATLANTAA	Atlantaa Limited
ATLANTAELE	ATLANTA ELECTRICALS LTD
ATLASCYCLE	Atlas Cycles (Haryana) Limited
ATLPP.E1	Allcargo Terminals Limited Partly Paid-Up
ATMASTCO-SM	ATMASTCO-SM
ATUL	Atul Limited
ATULAUTO	Atul Auto Limited
AUBANK	AU Small Finance Bank Limited
AUBANK.BL	AU SMALL FINANCE B
AURDIS.SM	AURANGABAD DISTILL
AURIONPRO	Aurionpro Solutions Limited
AUROIMPEX-SM	AUROIMPEX-SM
AUROPHARMA	Aurobindo Pharma Limited
AUROPHARMA.BL	AUROBINDO PHARMA
AURUM	Aurum PropTech Limited
AUSL.ST	ADITYA ULTRA STEEL LTD
AUSOMENT	Ausom Enterprise Limited
AUTOAXLES	Automotive Axles Limited
AUTOBEES	AUTOBEES
AUTOIETF	AUTOIETF
AUTOIND	Autoline Industries Limited
AVADHSUGAR	Avadh Sugar & Energy Limited
AVALON	AVALON TECHNOLOGIES LTD
AVANTEL	Avantel Limited
AVANTIFEED	Avanti Feeds Limited
AVG	AVG Logistics Limited
AVIANSH-SM	AVIANSH-SM
AVL	ADITYA VISION LTD
AVONMORE	Avonmore Capital & Management Services Limited
AVPINFRA-SM	AVPINFRA-SM
AVROIND	AVRO INDIA LIMITED
AVSL.SM	AVSL INDUSTRIES LT
AVTNPL	AVT Natural Products Limited
AWFIS	Awfis Space Solutions Ltd
AWHCL	Antony Waste Handling Cell Limited
AWL	Adani Wilmar Limited
AXISBANK	Axis Bank Limited
AXISBNKETF	Axis NIFTY Bank ETF
AXISBPSETF	Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF
AXISCADES	AXISCADES Technologies Limited
AXISCETF	Axis NIFTY India Consumption ETF
AXISHCETF	Axis NIFTY Healthcare ETF
AXISILVER	AXISILVER
AXISNIFTY	Axis Mutual Fund - Axis Nifty ETF
AXISTECETF	Axis NIFTY IT ETF
AXISVALUE	Axis Amc Ltd. - Axis Mutual Fund - Axis Nifty500 Value 50 ETF
AXITA	Axita Cotton Limited
AXSENSEX	AXSENSEX
AYMSYNTEX	AYM Syntex Limited
AZAD	Azad Engineering Limited
BABAFP-SM	BABAFP-SM
BAFNAPH	Bafna Pharmaceuticals Limited
BAGDIGITAL.ST	B.A.G. Convergence Limited
BAGFILMS	B.A.G Films and Media Limited
BAHETI-SM	BAHETI-SM
BAIDFIN	Baid Finserv Limited
BAJAJ-AUTO	Bajaj Auto Limited
BAJAJCON	Bajaj Consumer Care Limited
BAJAJELEC	Bajaj Electricals Limited
BAJAJFINSV	Bajaj Finserv Limited
BAJAJHCARE	Bajaj Healthcare Limited
BAJAJHFL	Bajaj Housing Finance
BAJAJHIND	Bajaj Hindusthan Sugar Limited
BAJAJHLDNG	Bajaj Holdings & Investment Limited
BAJAJHLDNG.BL	BAJAJ HOLDINGS & INVS LTD
BAJAJINDEF	BAJAJINDEF
BAJEL	BAJEL PROJECTS LTD
BAJFINANCE	Bajaj Finance Limited
BAJFINANCE.T0	BAJFINANCE.T0
BAJFINANCE.TL	BAJFINANCE.TL
BALAJEE	BALAJEE
BALAJIPHOS.ST	Balaji Phosphates Ltd.
BALAJITELE	Balaji Telefilms Limited
BALAMINES	Balaji Amines Limited
BALAXI	BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA	Balkrishna Paper Mills Limited
BALKRISIND	Balkrishna Industries Limited
BALLARPUR	Ballarpur Industries Limited
BALMLAWRIE	Balmer Lawrie & Company Limited
BALPHARMA	Bal Pharma Limited
BALRAMCHIN	Balrampur Chini Mills Limited
BALUFORGE	BELL AGROMACHINA ORD T (BSE)
BANARBEADS	Banaras Beads Limited
BANARISUG	Bannari Amman Sugars Limited
BANCOINDIA	Banco Products (I) Limited
BANDHANBNK	Bandhan Bank Limited
BANG	Bang Overseas Limited
BANKA	Banka BioLoo Limited
BANKBARODA	Bank of Baroda
BANKBARODA.BL	BK OF BARODA
BANKBEES	Nippon Mutual Funds - Nippon ETF Bank BeES
BANKBETA	BANKBETA
BANKBETF	BANKBETF
BANKETF	BANKETF
BANKIETF	BANKIETF
BANKINDIA	Bank of India
BANKINDIA.T0	BANKINDIA.T0
BANKNIFTY1	BANKNIFTY1
BANKPSU	BANKPSU
BANSALWIRE	Bansal Wire Industries Ltd
BANSWRAS	Banswara Syntex Limited
BASF	BASF India Limited
BASML	Bannari Amman Spinning Mills Limited
BATAINDIA	Bata India Limited
BAWEJA-SM	BAWEJA-SM
BAYERCROP	Bayer Cropscience Limited
BBETF0432	BHARAT Bond ETF - April 2032
BBL	Bharat Bijlee Limited
BBNPNBETF	BBNPNBETF
BBOX	Black Box Limited
BBTC	Bombay Burmah Trading Corporation Limited
BBTCL	B&B Triplewall Containers Limited
BCLIND	Bcl Industries Limited
BCONCEPTS	Brand Concepts Limited
BDL	Bharat Dynamics Limited
BEACON-SM	BEACON-SM
BEARDSELL	Beardsell Limited
BECTORFOOD	Mrs. Bectors Food Specialities Limited
BEDMUTHA	Bedmutha Industries Limited
BEL	Bharat Electronics Limited
BELLACASA	Bella Casa Fashion & Retail Limited
BELRISE	BELRISE INDUSTRIES LTD
BELRISE.BL	BELRISE.BL
BEML	BEML Limited
BEPL	Bhansali Engineering Polymers Limited
BERGEPAINT	Berger Paints (I) Limited
BESTAGRO	Best Agrolife Limited
BETA	Beta Drugs Ltd.
BFINVEST	BF Investment Limited
BFSI	BFSI
BFUTILITIE	BF Utilities Limited
BGLOBAL	Bharatiya Global Infomedia Limited
BGRENERGY	BGR Energy Systems Limited
BHAGCHEM	Bhagiradha Chemicals & Industries Limited
BHAGERIA	Bhageria Industries Limited
BHAGYANGR	Bhagyanagar India Limited
BHANDARI	Bhandari Hosiery Exports Limited
BHARATCOAL	BHARAT COKING COAL LTD
BHARATFORG	Bharat Forge Limited
BHARATGEAR	Bharat Gears Limited
BHARATRAS	Bharat Rasayan Limited
BHARATSE	Bharat Seats Limited
BHARATWIRE	Bharat Wire Ropes Limited
BHARTIARTL	Bharti Airtel Limited
BHARTIHEXA	Bharti Hexacom Ltd
BHEL	Bharat Heavy Electricals Limited
BHEL.T0	BHEL.T0
BIGBLOC	Bigbloc Construction Limited
BIKAJI	Bikaji Foods International Limited
BIL	Bhartiya International Limited
BILVYAPAR	BIL Vyapar Limited
BIOCON	Biocon Limited
BIOFILCHEM	Biofil Chemicals & Pharmaceuticals Limited
BIRDYS.ST	Grill Splendour Ser Ltd
BIRET-RR	Brookfield India Real Estate Trust
BIRLACABLE	Birla Cable Limited
BIRLACORPN	Birla Corporation Limited
BIRLAMONEY	Aditya Birla Money Limited
BIRLANU	BirlaNu Limited
BLACKBUCK	ZINKA LOGISTICS SOL LTD
BLAL	BEML LAND ASSETS LTD
BLBLIMITED	BLB Limited
BLISSGVS	Bliss GVS Pharma Limited
BLISSGVS.BL	BLISSGVS.BL
BLKASHYAP	B. L. Kashyap and Sons Limited
BLS	BLS International Services Limited
BLSE	BLS E-Services Limited
BLUECHIP	Blue Chip India Limited
BLUECOAST	Blue Coast Hotels Limited
BLUEDART	Blue Dart Express Limited
BLUEJET	Blue Jet Healthcare Limited
BLUEPEBBLE-SM	BLUEPEBBLE-SM
BLUESTARCO	Blue Star Limited
BLUESTARCO.BL	BLUE STAR LIMITED
BLUSPRING	BLUSPRING ENTERPRISES LTD
BMETRICS-SM	BMETRICS-SM
BMWVENTLTD	BMW VENTURES LIMITED
BODALCHEM	Bodal Chemicals Limited
BOHRAIND	Bohra Industries Limited
BOMDYEING	Bombay Dyeing & Mfg Company Limited
BORANA	BORANA
BOROLTD	Borosil Limited
BORORENEW	BOROSIL RENEWABLES LIMITED
BOROSCI	Borosil Scientific
BOSCH-HCIL	Bosch Home Comfort India Limited
BOSCH.HCIL	BOSCH.HCIL
BOSCHLTD	Bosch Limited
BOSS-SM	BOSS-SM
BPCL	Bharat Petroleum Corporation Limited
BPCL.BL	BHARAT PETROL CORP
BPL	BPL Limited
BRACEPORT-SM	BRACEPORT-SM
BRIGADE	Brigade Enterprises Limited
BRIGHOTEL	BRIGHOTEL
BRITANNIA	Britannia Industries Limited
BRNL	Bharat Road Network Limited
BROOKS	Brooks Laboratories Limited
BSE	BSE Limited
BSE500IETF	BSE500IETF
BSHSL	Bombay Super Hybrid Seeds Limited
BSL	BSL Limited
BSLGOLDETF	Birla Sun Life Mutual Fund - Aditya Birla Sun Life Gold ETF - Growth
BSLNIFTY	Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF
BSLSENETFG	BSLSENETFG
BSOFT	BIRLASOFT LIMITED
BTML	Bodhi Tree Multimedia Limited
BULKCORP.ST	BULKCORP INTERNATIONAL L
BUTTERFLY	Butterfly Gandhimathi Appliances Limited
BVCL	Barak Valley Cements Limited
BYKE	The Byke Hospitality Ltd
C2C.ST	C2C ADVANCED SYSTEMS LTD
CALSOFT	California Software Company Limited
CAMLINFINE	Camlin Fine Sciences Limited
CAMPUS	Campus Activewear Limited
CAMS	Computer Age Management Services Limited
CANARYS-SM	Canarys Automation
CANBK	Canara Bank
CANBK.BL	CANARA BANK
CANFINHOME	Can Fin Homes Limited
CANHLIFE	CANARA HSBC ORIENTAL BANK OF COMME
CANTABIL	Cantabil Retail India Limited
CAPACITE	Capacit'e Infraprojects Limited
CAPINVIT-IV	Dynamic Premium Yield PLUS Fund
CAPINVIT.BL	CAPINVIT.BL
CAPITALSFB	Capital Small Finance Bank Limited
CAPLIPOINT	Caplin Point Laboratories Limited
CAPTRU.RE1	CAPTRU.RE1
CAPTRUST	Capital Trust Limited
CAPTRUST.BL	CAPTRUST.BL
CARBORUNIV	Carborundum Universal Limited
CARBORUNIV.BL	CARBORUNDUM UNIVERSAL LTD
CARERATING	CARE Ratings Limited
CARRARO	CARRARO
CARTRADE	Cartrade Tech Limited
CARYSIL	CARYSIL LIMITED
CASHIETF	CASHIETF
CASTROLIND	Castrol India Limited
CCAVENUE	AVENUESAI LTD
CCCL	Consolidated Construction Consortium Limited
CCHHL	Country Club Hospitality & Holidays Limited
CCL	CCL Products (India) Limited
CDSL	Central Depository Services (India) Limited
CEATLTD	CEAT Limited
CEIGALL	Ceigall India
CEIGALL.BL	CEIGALL.BL
CELEBRITY	Celebrity Fashions Limited
CELLO	Cello World Limited
CELLPOINT-SM	CELLPOINT-SM
CEMPRO	Cemindia Projects Limited
CENTENKA	Century Enka Limited
CENTEXT	Century Extrusions Limited
CENTRALBK	Central Bank of India
CENTRUM	Centrum Capital Limited
CENTUM	Centum Electronics Limited
CENTURYPLY	Century Plyboards (India) Limited
CERA	Cera Sanitaryware Limited
CEREBRAINT	Cerebra Integrated Technologies Limited
CESC	CESC Limited
CEWATER	CONCORD ENVIRO SYSTEMS L
CGCL	Capri Global Capital Limited
CGPOWER	CG Power and Industrial Solutions Limited
CGPOWER.BL	CG POWER AND IND SOL LTD
CGRAPHICS-SM	Creative Graphics Solutions India Ltd
CHALET	Chalet Hotels Limited
CHAMBLFERT	Chambal Fertilizers & Chemicals Limited
CHANDAN.ST	Chandan Healthcare Ltd.
CHAVDA-SM	CHAVDA-SM
CHEMBOND	Chembond Chemicals Ltd
CHEMBONDCH	Chembond Chemicals Limited
CHEMCON	Chemcon Speciality Chemicals Limited
CHEMFAB	Chemfab Alkalis Limited
CHEMPLASTS	Chemplast Sanmar Limited
CHENNPETRO	Chennai Petroleum Corporation Limited
CHETANA-SM	CHETANA-SM
CHEVIOT	Cheviot Company Limited
CHOICEIN	Choice International Limited
CHOLAFIN	Cholamandalam Investment and Finance Company Limited
CHOLAFIN.BL	CHOLAFIN.BL
CHOLAHLDNG	Cholamandalam Financial Holdings Limited
CIEINDIA	CIE Automotive India Limited
CIFL	Capital India Finance Limited
CIGNITITEC	Cigniti Technologies Limited
CINELINE	Cineline India Limited
CINEVISTA	Cinevista Limited
CIPLA	Cipla Limited
CIPLA.BL	CIPLA LTD
CITIUSINVT-IV	CITIUS TRANSNET INV TRUST
CLEAN	Clean Science and Technology Limited
CLEANMAX	CLEAN MAX ENVIRO EN SOL L
CLEDUCATE	CL Educate Limited
CLSEL	Chaman Lal Setia Exports Limited
CLSL-SM	CLSL-SM
CMICABLES	CMI Limited
CMNL-SM	CMNL-SM
CMRSL	Cyber Media Research & Services Ltd
CMRSL-SM	CMRSL-SM
CMSINFO	CMS Info Systems Limited
CNL	Creative Newtech Limited
COALINDIA	Coal India Limited
COALINDIA.BL	COALINDIA.BL
COALINDIA.T0	COALINDIA.T0
COASTCORP	Coastal Corporation Limited
COCHINSHIP	Cochin Shipyard Limited
COFFEEDAY	Coffee Day Enterprises Limited
COFORGE	Coforge Limited
COFORGE.BL	COFORGE LIMITED
COHANCE	COHANCE
COLPAL	Colgate Palmolive (India) Limited
COMMITTED.ST	Committed Cargo Care Ltd
COMMOIETF	COMMOIETF
COMPINFO	Compuage Infocom Limited
COMPUSOFT	Compucom Software Limited
COMSYN	COMMERCIAL SYN BAGS ORD (BSE)
CONCOR	Container Corporation of India Limited
CONCOR.T0	CONCOR.T0
CONCOR.TL	CONCOR.TL
CONCORDBIO	Concord Biotech Limited
CONFIPET	Confidence Petroleum India Limited
CONS	CONS
CONSOFINVT	Consolidated Finvest & Holdings Limited
CONSUMBEES	CONSUMBEES
CONSUMER	CONSUMER
CONSUMIETF	CONSUMIETF
CONTI-SM	CONTI-SM
CONTROLPR	Control Print Limited
COOLCAP.RE.ST	COOLCAP.RE.ST
COOLCAPS-SM	Cool Caps Industries
CORALFINAC	Coral India Finance & Housing Limited
CORDSCABLE	Cords Cable Industries Limited
COROMANDEL	Coromandel International Limited
COSMOFIRST	COSMO FIRST LIMITED
COUNCODOS	Country Condo's Limited
CPCAP	CP Capital Limited
CPPLUS	CPPLUS
CPSEETF	Nippon Mutual Funds - CPSE ETF
CRAFTSMAN	Craftsman Automation Limited
CRAFTSMAN.BL	Craftsman Automation Ltd
CRAMC	CRAMC
CREATIVEYE	Creative Eye Limited
CREDITACC	CREDITACCESS GRAMEEN LIMITED
CREST	Crest Ventures Limited
CRISIL	CRISIL Limited
CRIZAC	CRIZAC
CROMPTON	Crompton Greaves Consumer Electricals Limited
CROWN	Crown Lifters Limited
CSBBANK	CSB Bank Limited
CSLFINANCE	CSL Finance Limited
CTE	Cambridge Technology Enterprises Limited
CUB	City Union Bank Limited
CUBEINVIT	Cube Highways Trust
CUBEXTUB	Cubex Tubings Limited
CUMMINSIND	Cummins India Limited
CUPID	Cupid Limited
CURAA	CURAA
CURIS.ST	CURIS.ST
CYBERMEDIA	Cyber Media (India) Limited
CYBERTECH	Cybertech Systems And Software Limited
CYIENT	Cyient Limited
CYIENTDLM	Cyient DLM Limited
DABUR	Dabur India Limited
DALBHARAT	Dalmia Bharat Limited
DALMIASUG	Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL	DAM CAPITAL ADVISORS LTD
DAMODARIND	Damodar Industries Limited
DANGEE	Dangee Dums Limited
DANISH-SM	DANISH-SM
DATAMATICS	Datamatics Global Services Limited
DATAPATTNS	Data Patterns (India) Limited
DAVANGERE	Davangere Sugar Company Limited
DBCORP	D.B.Corp Limited
DBEIL	DBEIL
DBL	Dilip Buildcon Limited
DBOL	Dhampur Bio Organics Limited
DBREALTY	Valor Estate Limited
DBSTOCKBRO	DB (International) Stock Brokers Limited
DCAL	Dishman Carbogen Amcis Limited
DCBBANK	DCB Bank Limited
DCG	DCG Cables & Wires Ltd
DCI	Dc Infotech And Communication Limited
DCM	DCM  Limited
DCMFINSERV	DCM Financial Services Limited
DCMNVL	DCM Nouvelle Limited
DCMSHRIRAM	DCM Shriram Limited
DCMSRIND	DCM Shriram Industries Limited
DCW	DCW Limited
DCXINDIA	DCX Systems Limited
DDEVPLSTIK	Ddev Plastiks Industries Limited
DECCANCE	Deccan Cements Limited
DECCANTRAN-SM	DECCANTRAN-SM
DEEDEV	DEE Development Eng Ltd
DEEM-SM	DEEM-SM
DEEPAKFERT	Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR	Deepak Nitrite Limited
DEEPINDS	Deep Industries Limited
DELAPLEX-SM	DELAPLEX-SM
DELHIVERY	Delhivery Limited
DELPH.RE	DELPH.RE
DELPHIFX	DELPHI WORLD MONEY LIMITED
